"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","997","Попытка регистрации с отсутствующим обязательным полем","tests","Mon Jul 14 01:37:32 MSK 2025","passed","Mon Jul 14 01:37:33 MSK 2025","TestUserRegistration","test_auth_register","",""
"","850","test_login_invalid_credentials[wrong@email.com-password123]","tests","Mon Jul 14 01:37:25 MSK 2025","passed","Mon Jul 14 01:37:25 MSK 2025","TestUserLogin","test_auth_login","",""
"","1090","Попытка регистрации существующего пользователя","tests","Mon Jul 14 01:37:30 MSK 2025","passed","Mon Jul 14 01:37:31 MSK 2025","TestUserRegistration","test_auth_register","",""
"","1157","Регистрация уникального пользователя","tests","Mon Jul 14 01:37:28 MSK 2025","passed","Mon Jul 14 01:37:30 MSK 2025","TestUserRegistration","test_auth_register","",""
"","765","test_create_order_without_ingredients","tests","Mon Jul 14 01:37:39 MSK 2025","passed","Mon Jul 14 01:37:40 MSK 2025","TestOrderCreation","test_create_order","",""
"","1013","test_login_invalid_credentials[test@example.com-wrongpassword]","tests","Mon Jul 14 01:37:25 MSK 2025","passed","Mon Jul 14 01:37:26 MSK 2025","TestUserLogin","test_auth_login","",""
"","531","test_create_order_with_invalid_ingredients","tests","Mon Jul 14 01:37:41 MSK 2025","passed","Mon Jul 14 01:37:42 MSK 2025","TestOrderCreation","test_create_order","",""
"","1247","Попытка регистрации с отсутствующим обязательным полем","tests","Mon Jul 14 01:37:33 MSK 2025","passed","Mon Jul 14 01:37:34 MSK 2025","TestUserRegistration","test_auth_register","",""
"","540","test_create_order_with_ingredients","tests","Mon Jul 14 01:37:37 MSK 2025","failed","Mon Jul 14 01:37:37 MSK 2025","TestOrderCreation","test_create_order","",""
"","1075","test_login_invalid_credentials[-password123]","tests","Mon Jul 14 01:37:26 MSK 2025","passed","Mon Jul 14 01:37:27 MSK 2025","TestUserLogin","test_auth_login","",""
"","1019","Попытка регистрации с отсутствующим обязательным полем","tests","Mon Jul 14 01:37:31 MSK 2025","passed","Mon Jul 14 01:37:32 MSK 2025","TestUserRegistration","test_auth_register","",""
"","2929","test_login_existing_user","tests","Mon Jul 14 01:37:22 MSK 2025","failed","Mon Jul 14 01:37:25 MSK 2025","TestUserLogin","test_auth_login","",""
"","1002","test_create_order_without_auth","tests","Mon Jul 14 01:37:34 MSK 2025","failed","Mon Jul 14 01:37:35 MSK 2025","TestOrderCreation","test_create_order","",""
"","961","test_login_invalid_credentials[test@example.com-]","tests","Mon Jul 14 01:37:28 MSK 2025","passed","Mon Jul 14 01:37:28 MSK 2025","TestUserLogin","test_auth_login","",""
